Timestamp,Source,Direction,Message
12:23:54.327,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47459  [CRC FAIL calc=C06B recv=0050]
12:23:54.327,COM15,   ,RAW: 01 03 48 09 B9 63 E1 00 08 D4 AF 09 FB 60 E8 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 50 00
12:23:54.407,COM15,RX,FC37  unit=3  [CRC FAIL calc=F3FF recv=A5B9]
12:23:54.407,COM15,   ,RAW: 03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 0A 21 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:23:55.430,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:55.430,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:55.603,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=82  [CRC FAIL calc=02A4 recv=19A4]
12:23:55.603,COM15,   ,RAW: 01 03 24 00 00 52 9F 00 00 53 3A 00 00 52 9C 00 02 E8 EE 00 02 EA D0 00 02 E9 D4 00 05 0B 09 00 05 0D 5F 00 05 0A E1 8A E7 01 03 00 66 00 10 A4 19
12:23:55.731,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4737  [CRC OK]
12:23:55.732,COM15,   ,RAW: 01 03 20 00 12 81 86 00 00 00 00 00 12 90 13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CA 6A E9 FB
12:23:55.763,COM15,RX,Read Holding Regs  unit=1  addr=166  qty=36  [CRC OK]
12:23:55.763,COM15,   ,RAW: 01 03 00 A6 00 24 A5 F2
12:23:55.986,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47462  [CRC FAIL calc=59B7 recv=0066]
12:23:55.986,COM15,   ,RAW: 01 03 48 09 B9 66 84 00 08 D4 AF 09 FB 63 8A 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 66 00
12:23:56.034,COM15,RX,FC37  unit=3  [CRC FAIL calc=FB7E recv=A983]
12:23:56.034,COM15,   ,RAW: 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 83 A9
12:23:56.081,COM15,RX,Read Holding Regs  unit=1  addr=25012  qty=1  [CRC FAIL calc=A59D recv=A5B9]
12:23:56.081,COM15,   ,RAW: 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:23:57.103,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:57.103,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:57.245,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=83  [CRC OK]
12:23:57.245,COM15,   ,RAW: 01 03 24 00 00 53 67 00 00 53 5E 00 00 52 A3 00 02 E9 16 00 02 EA 2A 00 02 EA 2F 00 05 0A 56 00 05 0C F3 00 05 0C 27 2D E5
12:23:57.277,COM15,RX,Read Holding Regs  unit=1  addr=102  qty=16  [CRC OK]
12:23:57.277,COM15,   ,RAW: 01 03 00 66 00 10 A4 19
12:23:57.404,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4750  [CRC OK]
12:23:57.404,COM15,   ,RAW: 01 03 20 00 12 8E 05 00 00 00 00 00 12 93 18 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DB A3 A6 81
12:23:57.436,COM15,RX,Read Holding Regs  unit=1  addr=166  qty=36  [CRC OK]
12:23:57.436,COM15,   ,RAW: 01 03 00 A6 00 24 A5 F2
12:23:57.660,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47463  [CRC FAIL calc=D84C recv=0076]
12:23:57.660,COM15,   ,RAW: 01 03 48 09 B9 67 D5 00 08 D4 AF 09 FB 64 DC 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 76 00
12:23:57.724,COM15,RX,FC37  unit=3  [CRC FAIL calc=57F6 recv=D0DB]
12:23:57.725,COM15,   ,RAW: 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 88 F6 53 01 03 61 B4 00 01 DB D0
12:23:57.756,COM15,RX,Read Holding Regs  unit=1  [CRC OK]
12:23:57.756,COM15,   ,RAW: 01 03 02 00 7C B9 A5
12:23:58.777,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:58.777,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:58.937,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=82  [CRC FAIL calc=02A4 recv=19A4]
