line_index,raw_line,subframe_index,start_byte,end_byte,uid,pdu_hex,crc_calc,valid
417,01 03 20 00 12 A3 BC 00 00 00 00 00 12 A5 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8B 80 D2 4D 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
421,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8C 29 32 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,45,52,1,03 61 B4 00 01,D0DB,OK
421,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8C 29 32 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,53,59,1,03 02 00 7C,A5B9,OK
423,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
425,01 03 24 00 00 53 9D 00 00 53 B0 00 00 53 14 00 02 E4 F7 00 02 E8 CD 00 02 E8 FB 00 05 04 A5 00 05 0C 49 00 05 06 EA AA 87 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 53 9D 00 00 53 B0 00 00 53 14 00 02 E4 F7 00 02 E8 CD 00 02 E8 FB 00 05 04 A5 00 05 0C 49 00 05 06 EA,87AA,OK
425,01 03 24 00 00 53 9D 00 00 53 B0 00 00 53 14 00 02 E4 F7 00 02 E8 CD 00 02 E8 FB 00 05 04 A5 00 05 0C 49 00 05 06 EA AA 87 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
427,01 03 20 00 12 9C 35 00 00 00 00 00 12 9C F4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 54 59 D9 94,0,0,36,1,03 20 00 12 9C 35 00 00 00 00 00 12 9C F4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 54 59,94D9,OK
429,01 03 00 A6 00 24 A5 F2,0,0,7,1,03 00 A6 00 24,F2A5,OK
431,01 03 48 09 B9 9E 11 00 08 D4 AF 09 FB 9B 20 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 60 24 00,0,13,29,155,20 00 12 4A BE 00 0B 3B 78 00 97 81 64 05,60C7,OK
435,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,0,7,1,03 61 B4 00 01,D0DB,OK
435,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,8,14,1,03 02 00 7C,A5B9,OK
437,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
439,01 03 24 00 00 54 67 00 00 54 68 00 00 53 81 00 02 E9 21 00 02 EA 16 00 02 E9 2F 00 05 0A CE 00 05 0B AA 00 05 0B 2B 15 13 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 54 67 00 00 54 68 00 00 53 81 00 02 E9 21 00 02 EA 16 00 02 E9 2F 00 05 0A CE 00 05 0B AA 00 05 0B 2B,1315,OK
439,01 03 24 00 00 54 67 00 00 54 68 00 00 53 81 00 02 E9 21 00 02 EA 16 00 02 E9 2F 00 05 0A CE 00 05 0B AA 00 05 0B 2B 15 13 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
441,01 03 20 00 12 C5 94 00 00 00 00 00 12 C8 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9D B5 11 B9 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 C5 94 00 00 00 00 00 12 C8 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9D B5,B911,OK
441,01 03 20 00 12 C5 94 00 00 00 00 00 12 C8 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9D B5 11 B9 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
445,03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B E6 DA 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,45,52,1,03 61 B4 00 01,D0DB,OK
445,03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B E6 DA 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,53,59,1,03 02 00 7C,A5B9,OK
