line,uid,fc,interpretation,pdu
801,1,3,"FC3 response: 16 reg(s) [18, 60764, 0, 0, 18, 61715]",03 20 00 12 ED 5C 00 00 00 00 00 12 F1 13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD C5
803,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
807,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
809,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
811,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
813,1,3,"FC3 response: 18 reg(s) [0, 21716, 0, 21736, 0, 21532]",03 24 00 00 54 D4 00 00 54 E8 00 00 54 1C 00 02 E5 2C 00 02 E8 6E 00 02 E8 2B 00 05 04 E8 00 05 0A CE 00 05 06 71
813,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
815,1,3,"FC3 response: 16 reg(s) [18, 56081, 0, 0, 18, 56305]",03 20 00 12 DB 11 00 00 00 00 00 12 DB F1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5B D6
815,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
819,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
819,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
821,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
823,1,3,"FC3 response: 18 reg(s) [0, 21789, 0, 21809, 0, 21598]",03 24 00 00 55 1D 00 00 55 31 00 00 54 5E 00 02 E7 42 00 02 E9 40 00 02 E8 85 00 05 08 04 00 05 0B 05 00 05 08 C2
825,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
827,1,3,"FC3 response: 16 reg(s) [18, 61006, 0, 0, 18, 61343]",03 20 00 12 EE 4E 00 00 00 00 00 12 EF 9F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 70 F2
827,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
833,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
833,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
835,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
837,1,3,"FC3 response: 18 reg(s) [0, 22007, 0, 21977, 0, 21689]",03 24 00 00 55 F7 00 00 55 D9 00 00 54 B9 00 02 E7 D2 00 02 E9 4A 00 02 E8 FE 00 05 08 88 00 05 0B 46 00 05 09 D9
837,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
839,1,3,"FC3 response: 16 reg(s) [19, 3609, 0, 0, 19, 4966]",03 20 00 13 0E 19 00 00 00 00 00 13 13 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E3 81
841,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
845,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
845,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
847,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
849,1,3,"FC3 response: 18 reg(s) [0, 21844, 0, 21797, 0, 21524]",03 24 00 00 55 54 00 00 55 25 00 00 54 14 00 02 E3 C5 00 02 E7 F7 00 02 E8 DD 00 05 02 5C 00 05 0B DE 00 05 05 E4
851,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
853,1,3,"FC3 response: 16 reg(s) [18, 58816, 0, 0, 18, 59348]",03 20 00 12 E5 C0 00 00 00 00 00 12 E7 D4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8D C7
853,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
859,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
859,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
861,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
863,1,3,"FC3 response: 18 reg(s) [0, 21732, 0, 21791, 0, 21585]",03 24 00 00 54 E4 00 00 55 1F 00 00 54 51 00 02 E4 B3 00 02 E7 FA 00 02 E8 52 00 05 03 BF 00 05 0A BA 00 05 06 57
863,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
865,1,3,"FC3 response: 16 reg(s) [18, 58027, 0, 0, 18, 58276]",03 20 00 12 E2 AB 00 00 00 00 00 12 E3 A4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 60 F2
867,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
873,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
873,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
875,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
877,1,3,"FC3 response: 18 reg(s) [0, 21928, 0, 21975, 0, 21625]",03 24 00 00 55 A8 00 00 55 D7 00 00 54 79 00 02 E8 4D 00 02 E9 9C 00 02 E8 02 00 05 09 F6 00 05 0A 3E 00 05 09 21
879,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
881,1,3,"FC3 response: 16 reg(s) [19, 1365, 0, 0, 19, 2094]",03 20 00 13 05 55 00 00 00 00 00 13 08 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A6 9A
881,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
887,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
887,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
889,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
891,1,3,"FC3 response: 18 reg(s) [0, 21982, 0, 21929, 0, 21625]",03 24 00 00 55 DE 00 00 55 A9 00 00 54 79 00 02 E5 DB 00 02 E8 B9 00 02 E9 1F 00 05 05 81 00 05 0B E4 00 05 08 19
891,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
893,1,3,"FC3 response: 16 reg(s) [19, 921, 0, 0, 19, 1972]",03 20 00 13 03 99 00 00 00 00 00 13 07 B4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C7 E0
893,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
897,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
897,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
899,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
901,1,3,"FC3 response: 18 reg(s) [0, 21837, 0, 21830, 0, 21612]",03 24 00 00 55 4D 00 00 55 46 00 00 54 6C 00 02 E3 B7 00 02 E8 19 00 02 E8 77 00 05 02 B5 00 05 0B 98 00 05 05 45
901,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
903,1,3,"FC3 response: 16 reg(s) [18, 60766, 0, 0, 18, 61382]",03 20 00 12 ED 5E 00 00 00 00 00 12 EF C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 65 4A
903,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
907,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
907,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
909,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
911,1,3,"FC3 response: 18 reg(s) [0, 21801, 0, 21857, 0, 21659]",03 24 00 00 55 29 00 00 55 61 00 00 54 9B 00 02 E6 A2 00 02 E9 18 00 02 E7 F8 00 05 07 6F 00 05 0A 8B 00 05 07 80
911,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
913,1,3,"FC3 response: 16 reg(s) [18, 62913, 0, 0, 18, 63192]",03 20 00 12 F5 C1 00 00 00 00 00 12 F6 D8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 DF
913,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
917,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
917,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
919,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
921,1,3,"FC3 response: 18 reg(s) [0, 22035, 0, 22059, 0, 21749]",03 24 00 00 56 13 00 00 56 2B 00 00 54 F5 00 02 E7 D6 00 02 E8 D6 00 02 E8 67 00 05 08 55 00 05 0A 15 00 05 09 76
921,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
923,1,3,"FC3 response: 16 reg(s) [19, 6053, 0, 0, 19, 7416]",03 20 00 13 17 A5 00 00 00 00 00 13 1C F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E4 2E
923,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
927,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
927,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
929,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
931,1,3,"FC3 response: 18 reg(s) [0, 21997, 0, 22022, 0, 21673]",03 24 00 00 55 ED 00 00 56 06 00 00 54 A9 00 02 E6 85 00 02 E8 E9 00 02 E9 2A 00 05 06 76 00 05 0B C6 00 05 08 CD
931,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
933,1,3,"FC3 response: 16 reg(s) [19, 4059, 0, 0, 19, 5239]",03 20 00 13 0F DB 00 00 00 00 00 13 14 77 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A8 8C
933,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
939,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
939,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
941,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
943,1,3,"FC3 response: 18 reg(s) [0, 21747, 0, 21825, 0, 21631]",03 24 00 00 54 F3 00 00 55 41 00 00 54 7F 00 02 E4 5A 00 02 E8 38 00 02 E8 25 00 05 03 B9 00 05 0B 01 00 05 05 99
943,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
945,1,3,"FC3 response: 16 reg(s) [18, 59930, 0, 0, 18, 60223]",03 20 00 12 EA 1A 00 00 00 00 00 12 EB 3F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 61
945,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
949,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
949,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
951,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
953,1,3,"FC3 response: 18 reg(s) [0, 21920, 0, 21963, 0, 21712]",03 24 00 00 55 A0 00 00 55 CB 00 00 54 D0 00 02 E8 5D 00 02 E9 D9 00 02 E8 8E 00 05 09 FE 00 05 0B 1B 00 05 09 B2
953,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
955,1,3,"FC3 response: 16 reg(s) [19, 3480, 0, 0, 19, 4045]",03 20 00 13 0D 98 00 00 00 00 00 13 0F CD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 92 B6
955,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
959,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
959,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
961,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
963,1,3,"FC3 response: 18 reg(s) [0, 21993, 0, 22053, 0, 21801]",03 24 00 00 55 E9 00 00 56 25 00 00 55 29 00 02 E8 73 00 02 E9 3C 00 02 E8 6D 00 05 09 77 00 05 0A 38 00 05 09 FC
963,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
965,1,3,"FC3 response: 16 reg(s) [19, 6627, 0, 0, 19, 8016]",03 20 00 13 19 E3 00 00 00 00 00 13 1F 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D8 2C
965,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
969,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
969,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
971,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
973,1,3,"FC3 response: 18 reg(s) [0, 21939, 0, 21929, 0, 21690]",03 24 00 00 55 B3 00 00 55 A9 00 00 54 BA 00 02 E4 87 00 02 E8 46 00 02 E8 DF 00 05 03 98 00 05 0B D2 00 05 06 90
973,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
975,1,3,"FC3 response: 16 reg(s) [19, 981, 0, 0, 19, 1801]",03 20 00 13 03 D5 00 00 00 00 00 13 07 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 A7
975,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
979,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
979,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
981,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
983,1,3,"FC3 response: 18 reg(s) [0, 21791, 0, 21900, 0, 21701]",03 24 00 00 55 1F 00 00 55 8C 00 00 54 C5 00 02 E5 C6 00 02 E8 D2 00 02 E7 A3 00 05 06 56 00 05 0A 4B 00 05 06 4F
983,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
985,1,3,"FC3 response: 16 reg(s) [18, 63898, 0, 0, 18, 64152]",03 20 00 12 F9 9A 00 00 00 00 00 12 FA 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 62 34
985,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
989,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
989,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
991,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
993,1,3,"FC3 response: 18 reg(s) [0, 21905, 0, 22011, 0, 21751]",03 24 00 00 55 91 00 00 55 FB 00 00 54 F7 00 02 E7 87 00 02 E9 1F 00 02 E7 EF 00 05 08 88 00 05 0A 0B 00 05 09 4A
993,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
995,1,3,"FC3 response: 16 reg(s) [19, 3920, 0, 0, 19, 8827]",03 20 00 13 0F 50 00 00 00 00 00 13 22 7B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DB 38
995,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
999,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
999,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1001,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1003,1,3,"FC3 response: 18 reg(s) [0, 22057, 0, 22084, 0, 21790]",03 24 00 00 56 29 00 00 56 44 00 00 55 1E 00 02 E7 77 00 02 E8 FA 00 02 E9 02 00 05 07 BC 00 05 0B 22 00 05 09 A7
1003,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1005,1,3,"FC3 response: 16 reg(s) [19, 8582, 0, 0, 19, 9864]",03 20 00 13 21 86 00 00 00 00 00 13 26 88 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DD 79
1007,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1013,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1013,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1015,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1017,1,3,"FC3 response: 18 reg(s) [0, 21844, 0, 21891, 0, 21665]",03 24 00 00 55 54 00 00 55 83 00 00 54 A1 00 02 E4 1E 00 02 E8 70 00 02 E8 47 00 05 03 A3 00 05 0B 8B 00 05 05 57
1017,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1019,1,3,"FC3 response: 16 reg(s) [18, 63699, 0, 0, 18, 64118]",03 20 00 12 F8 D3 00 00 00 00 00 12 FA 76 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7E 1B
1019,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1023,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1023,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1025,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1027,1,3,"FC3 response: 18 reg(s) [0, 21810, 0, 21926, 0, 21700]",03 24 00 00 55 32 00 00 55 A6 00 00 54 C4 00 02 E8 2B 00 02 E9 F6 00 02 E8 B1 00 05 09 CD 00 05 0B 84 00 05 09 96
1027,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1029,1,3,"FC3 response: 16 reg(s) [19, 4862, 0, 0, 19, 5268]",03 20 00 13 12 FE 00 00 00 00 00 13 14 94 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C 7E
1031,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1037,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1037,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1039,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1041,1,3,"FC3 response: 18 reg(s) [0, 22020, 0, 22120, 0, 21808]",03 24 00 00 56 04 00 00 56 68 00 00 55 30 00 02 E9 0E 00 02 E9 FC 00 02 E8 D6 00 05 0A C9 00 05 0B 33 00 05 0A BD
1041,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1043,1,3,"FC3 response: 16 reg(s) [19, 10007, 0, 0, 19, 11128]",03 20 00 13 27 17 00 00 00 00 00 13 2B 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CF 44
1045,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1051,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1051,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1053,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1055,1,3,"FC3 response: 18 reg(s) [0, 22008, 0, 22030, 0, 21749]",03 24 00 00 55 F8 00 00 56 0E 00 00 54 F5 00 02 E5 FF 00 02 E9 23 00 02 E9 DA 00 05 05 B8 00 05 0D 1E 00 05 08 E1
1055,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1057,1,3,"FC3 response: 16 reg(s) [19, 6612, 0, 0, 19, 7690]",03 20 00 13 19 D4 00 00 00 00 00 13 1E 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CA FB
1057,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1063,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1063,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1065,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1067,1,3,"FC3 response: 18 reg(s) [0, 21899, 0, 21928, 0, 21710]",03 24 00 00 55 8B 00 00 55 A8 00 00 54 CE 00 02 E5 96 00 02 E9 89 00 02 E8 5D 00 05 06 8B 00 05 0C 12 00 05 06 83
1069,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1071,1,3,"FC3 response: 16 reg(s) [19, 1547, 0, 0, 19, 1806]",03 20 00 13 06 0B 00 00 00 00 00 13 07 0E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 63 4D
1071,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1077,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1077,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1079,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1081,1,3,"FC3 response: 18 reg(s) [0, 21886, 0, 22047, 0, 21795]",03 24 00 00 55 7E 00 00 56 1F 00 00 55 23 00 02 E8 28 00 02 EA 4A 00 02 E8 D9 00 05 0A 11 00 05 0C 10 00 05 09 97
1081,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1083,1,3,"FC3 response: 16 reg(s) [19, 7022, 0, 0, 19, 7369]",03 20 00 13 1B 6E 00 00 00 00 00 13 1C C9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 73 22
1083,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1087,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1087,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1089,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1091,1,3,"FC3 response: 18 reg(s) [0, 22116, 0, 22185, 0, 21907]",03 24 00 00 56 64 00 00 56 A9 00 00 55 93 00 02 E8 4B 00 02 E9 3E 00 02 E9 6E 00 05 08 C0 00 05 0B 78 00 05 0A F0
1093,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1095,1,3,"FC3 response: 16 reg(s) [19, 14286, 0, 0, 19, 15704]",03 20 00 13 37 CE 00 00 00 00 00 13 3D 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E9 7E
1097,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1103,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1103,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1105,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1107,1,3,"FC3 response: 18 reg(s) [0, 22012, 0, 21991, 0, 21764]",03 24 00 00 55 FC 00 00 55 E7 00 00 55 04 00 02 E4 78 00 02 E8 D3 00 02 E9 03 00 05 04 11 00 05 0C A2 00 05 06 5F
1107,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1109,1,3,"FC3 response: 16 reg(s) [19, 5676, 0, 0, 19, 6300]",03 20 00 13 16 2C 00 00 00 00 00 13 18 9C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9A 58
1109,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1113,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1113,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1115,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1117,1,3,"FC3 response: 18 reg(s) [0, 21911, 0, 21935, 0, 21773]",03 24 00 00 55 97 00 00 55 AF 00 00 55 0D 00 02 E5 28 00 02 E9 51 00 02 E8 29 00 05 05 E8 00 05 0B D5 00 05 05 E8
1117,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1119,1,3,"FC3 response: 16 reg(s) [19, 3320, 0, 0, 19, 3599]",03 20 00 13 0C F8 00 00 00 00 00 13 0E 0F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 67 11
1119,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1123,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1123,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1125,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1127,1,3,"FC3 response: 18 reg(s) [0, 22080, 0, 22157, 0, 21944]",03 24 00 00 56 40 00 00 56 8D 00 00 55 B8 00 02 E8 66 00 02 E9 EF 00 02 E8 B0 00 05 0A 0C 00 05 0B 57 00 05 09 DC
1129,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1131,1,3,"FC3 response: 16 reg(s) [19, 14707, 0, 0, 19, 15415]",03 20 00 13 39 73 00 00 00 00 00 13 3C 37 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A5 16
1133,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1139,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1139,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1141,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1143,1,3,"FC3 response: 18 reg(s) [0, 22159, 0, 22193, 0, 21920]",03 24 00 00 56 8F 00 00 56 B1 00 00 55 A0 00 02 E6 F3 00 02 E9 8B 00 02 EA 39 00 05 07 11 00 05 0D 78 00 05 0A 2E
1143,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1145,1,3,"FC3 response: 16 reg(s) [19, 16338, 0, 0, 19, 17556]",03 20 00 13 3F D2 00 00 00 00 00 13 44 94 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D8 8B
1145,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1149,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1149,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1151,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1153,1,3,"FC3 response: 18 reg(s) [0, 22106, 0, 22070, 0, 21859]",03 24 00 00 56 5A 00 00 56 36 00 00 55 63 00 02 E4 C5 00 02 E8 FB 00 02 E9 64 00 05 04 64 00 05 0D 16 00 05 07 0D
1153,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1155,1,3,"FC3 response: 16 reg(s) [19, 11003, 0, 0, 19, 11788]",03 20 00 13 2A FB 00 00 00 00 00 13 2E 0C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AD 70
1157,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1161,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1161,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1163,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1165,1,3,"FC3 response: 18 reg(s) [0, 22028, 0, 22070, 0, 21891]",03 24 00 00 56 0C 00 00 56 36 00 00 55 83 00 02 E7 10 00 02 EA 58 00 02 E8 C9 00 05 08 EB 00 05 0C A7 00 05 08 3D
1165,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1167,1,3,"FC3 response: 16 reg(s) [19, 11650, 0, 0, 19, 11956]",03 20 00 13 2D 82 00 00 00 00 00 13 2E B4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6C 6B
1167,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1171,19,137,FC137 raw len=1,89
1171,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1171,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1173,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1175,1,3,"FC3 response: 18 reg(s) [0, 22250, 0, 22325, 0, 22031]",03 24 00 00 56 EA 00 00 57 35 00 00 56 0F 00 02 E8 33 00 02 E9 58 00 02 E8 F4 00 05 08 FC 00 05 0B 18 00 05 0A 42
1175,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1177,1,3,"FC3 response: 16 reg(s) [19, 21318, 0, 0, 19, 22718]",03 20 00 13 53 46 00 00 00 00 00 13 58 BE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E8 A8
1177,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1181,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1181,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1183,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1185,1,3,"FC3 response: 18 reg(s) [0, 22258, 0, 22305, 0, 22017]",03 24 00 00 56 F2 00 00 57 21 00 00 56 01 00 02 E6 FA 00 02 E9 1E 00 02 E9 E6 00 05 06 CA 00 05 0C 95 00 05 0A 16
1185,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1187,1,3,"FC3 response: 16 reg(s) [19, 21532, 0, 0, 19, 22777]",03 20 00 13 54 1C 00 00 00 00 00 13 58 F9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DB 63
1189,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1193,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1193,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
1195,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
1197,1,3,"FC3 response: 18 reg(s) [0, 22135, 0, 22154, 0, 21980]",03 24 00 00 56 77 00 00 56 8A 00 00 55 DC 00 02 E4 26 00 02 E9 1F 00 02 E8 3B 00 05 04 78 00 05 0C 43 00 05 04 F4
1199,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
1201,1,3,"FC3 response: 16 reg(s) [19, 15099, 0, 0, 19, 15475]",03 20 00 13 3A FB 00 00 00 00 00 13 3C 73 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 78 3F
1203,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
1207,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
1207,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
